run_name,config,features,seed,fold,split,n_train,n_eval,prevalence,roc_auc,pr_auc,log_loss,brier,epochs_ran,seconds,commit,notes
ancho_32,ablacion,"texto[both, con marcador] + tabular[7 cat]",42,0,cv_dev,6327,1582,0.121997,0.973646,0.822946,0.128888,0.038403,39.0,12.37,7a5d721-dirty,"d_model 32 con 2 cabezas y d_ff 128. Mantiene d_head en 16 y el ratio en 4, asi que es un escalado de ancho limpio y no una receta que mezcla tres cosas."
ancho_32,ablacion,"texto[both, con marcador] + tabular[7 cat]",42,1,cv_dev,6328,1581,0.1284,0.97696,0.834933,0.137201,0.039621,33.0,10.48,7a5d721-dirty,"d_model 32 con 2 cabezas y d_ff 128. Mantiene d_head en 16 y el ratio en 4, asi que es un escalado de ancho limpio y no una receta que mezcla tres cosas."
ancho_32,ablacion,"texto[both, con marcador] + tabular[7 cat]",42,2,cv_dev,6327,1582,0.127686,0.97396,0.794607,0.135487,0.041447,34.0,10.82,7a5d721-dirty,"d_model 32 con 2 cabezas y d_ff 128. Mantiene d_head en 16 y el ratio en 4, asi que es un escalado de ancho limpio y no una receta que mezcla tres cosas."
ancho_32,ablacion,"texto[both, con marcador] + tabular[7 cat]",42,3,cv_dev,6327,1582,0.140329,0.969061,0.775367,0.169309,0.048995,46.0,14.73,7a5d721-dirty,"d_model 32 con 2 cabezas y d_ff 128. Mantiene d_head en 16 y el ratio en 4, asi que es un escalado de ancho limpio y no una receta que mezcla tres cosas."
ancho_32,ablacion,"texto[both, con marcador] + tabular[7 cat]",42,4,cv_dev,6327,1582,0.127686,0.975298,0.82947,0.138077,0.04258,36.0,11.48,7a5d721-dirty,"d_model 32 con 2 cabezas y d_ff 128. Mantiene d_head en 16 y el ratio en 4, asi que es un escalado de ancho limpio y no una receta que mezcla tres cosas."
ancho_32,ablacion,"texto[both, con marcador] + tabular[7 cat]",43,0,cv_dev,6327,1582,0.121997,0.974519,0.812964,0.127698,0.037428,47.0,15.24,7a5d721-dirty,"d_model 32 con 2 cabezas y d_ff 128. Mantiene d_head en 16 y el ratio en 4, asi que es un escalado de ancho limpio y no una receta que mezcla tres cosas."
ancho_32,ablacion,"texto[both, con marcador] + tabular[7 cat]",43,1,cv_dev,6328,1581,0.1284,0.975684,0.835259,0.139136,0.04058,43.0,13.8,7a5d721-dirty,"d_model 32 con 2 cabezas y d_ff 128. Mantiene d_head en 16 y el ratio en 4, asi que es un escalado de ancho limpio y no una receta que mezcla tres cosas."
ancho_32,ablacion,"texto[both, con marcador] + tabular[7 cat]",43,2,cv_dev,6327,1582,0.127686,0.972058,0.778491,0.140112,0.042759,26.0,8.31,7a5d721-dirty,"d_model 32 con 2 cabezas y d_ff 128. Mantiene d_head en 16 y el ratio en 4, asi que es un escalado de ancho limpio y no una receta que mezcla tres cosas."
ancho_32,ablacion,"texto[both, con marcador] + tabular[7 cat]",43,3,cv_dev,6327,1582,0.140329,0.972976,0.797748,0.14777,0.046064,31.0,9.88,7a5d721-dirty,"d_model 32 con 2 cabezas y d_ff 128. Mantiene d_head en 16 y el ratio en 4, asi que es un escalado de ancho limpio y no una receta que mezcla tres cosas."
ancho_32,ablacion,"texto[both, con marcador] + tabular[7 cat]",43,4,cv_dev,6327,1582,0.127686,0.975893,0.824147,0.138191,0.042741,35.0,11.05,7a5d721-dirty,"d_model 32 con 2 cabezas y d_ff 128. Mantiene d_head en 16 y el ratio en 4, asi que es un escalado de ancho limpio y no una receta que mezcla tres cosas."
